epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7898,1.38235,1.7932,0.0184,0.79957,0.75786,0.8119,0.4751,1.49873,1.12,0.02799,0.000663043,0.000663043,0.000663043
2,97.0634,1.66636,1.45928,0.02367,0.69624,0.6478,0.71532,0.38217,1.64611,1.46007,0.03355,0.00130338,0.00130338,0.00130338
3,143.892,1.71301,1.44465,0.02495,0.79683,0.75157,0.79053,0.40157,1.71507,1.09955,0.0344,0.00191732,0.00191732,0.00191732
4,190.755,1.66819,1.39506,0.02336,0.76451,0.66038,0.74533,0.39848,1.56277,1.40502,0.02926,0.0018812,0.0018812,0.0018812
5,237.571,1.59771,1.3159,0.02251,0.80529,0.72642,0.80591,0.4681,1.51517,1.09049,0.0295,0.0018416,0.0018416,0.0018416
6,284.469,1.55846,1.2377,0.02148,0.84088,0.73121,0.8183,0.46431,1.50036,1.04654,0.02788,0.001802,0.001802,0.001802
7,331.49,1.49372,1.17092,0.02115,0.8312,0.7956,0.86481,0.51757,1.41574,0.89159,0.02525,0.0017624,0.0017624,0.0017624
8,378.506,1.47889,1.18176,0.02039,0.8962,0.79874,0.88026,0.53639,1.34822,0.90602,0.02415,0.0017228,0.0017228,0.0017228
9,425.489,1.46021,1.13656,0.02026,0.86493,0.8239,0.87572,0.54003,1.40688,0.77174,0.02528,0.0016832,0.0016832,0.0016832
10,472.474,1.44304,1.1153,0.01961,0.84004,0.80918,0.87812,0.5329,1.36963,0.83648,0.02468,0.0016436,0.0016436,0.0016436
11,519.498,1.41593,1.07605,0.01934,0.88129,0.81709,0.89393,0.5586,1.33878,0.78244,0.02331,0.001604,0.001604,0.001604
12,566.692,1.41591,1.04635,0.01936,0.90433,0.74843,0.84652,0.53072,1.3293,0.82098,0.02366,0.0015644,0.0015644,0.0015644
13,613.66,1.34749,0.98439,0.01815,0.93279,0.82929,0.89214,0.57916,1.29101,0.7047,0.02317,0.0015248,0.0015248,0.0015248
14,660.611,1.35128,0.98039,0.01812,0.87964,0.83962,0.90141,0.60358,1.21766,0.68017,0.02116,0.0014852,0.0014852,0.0014852
15,707.008,1.33184,0.96857,0.01808,0.89611,0.81374,0.88106,0.55177,1.3194,0.82964,0.02215,0.0014456,0.0014456,0.0014456
16,753.376,1.3079,0.93999,0.01765,0.90006,0.84964,0.90202,0.59865,1.26894,0.7137,0.02238,0.001406,0.001406,0.001406
17,799.866,1.28603,0.9023,0.01699,0.91707,0.83648,0.91874,0.6142,1.22725,0.63161,0.02087,0.0013664,0.0013664,0.0013664
18,846.532,1.27927,0.88078,0.01716,0.93647,0.83442,0.9005,0.6104,1.22792,0.69368,0.02094,0.0013268,0.0013268,0.0013268
19,893.039,1.26677,0.87216,0.01714,0.91055,0.83229,0.90629,0.60768,1.22871,0.69482,0.02134,0.0012872,0.0012872,0.0012872
20,939.597,1.25651,0.85554,0.01642,0.96299,0.81827,0.91298,0.62249,1.18753,0.66779,0.02012,0.0012476,0.0012476,0.0012476
21,986.039,1.23702,0.82203,0.01631,0.91296,0.87107,0.92353,0.64269,1.13127,0.60113,0.01899,0.001208,0.001208,0.001208
22,1032.44,1.20232,0.78527,0.01603,0.9359,0.82643,0.90721,0.63914,1.16597,0.59733,0.01929,0.0011684,0.0011684,0.0011684
23,1078.86,1.21762,0.79099,0.01606,0.923,0.86695,0.91482,0.63275,1.20238,0.6213,0.02068,0.0011288,0.0011288,0.0011288
24,1125.39,1.20022,0.78722,0.01575,0.94477,0.84591,0.90544,0.63386,1.12484,0.67712,0.01896,0.0010892,0.0010892,0.0010892
25,1171.96,1.17138,0.76103,0.01547,0.9043,0.86177,0.92116,0.62513,1.19539,0.60766,0.02008,0.0010496,0.0010496,0.0010496
26,1218.55,1.154,0.74338,0.01521,0.9479,0.85817,0.90816,0.63528,1.11835,0.62325,0.01883,0.00101,0.00101,0.00101
27,1265.16,1.12791,0.75355,0.0143,0.9388,0.84591,0.91222,0.64772,1.10394,0.64355,0.01772,0.0009704,0.0009704,0.0009704
28,1311.83,1.10522,0.70304,0.01434,0.92667,0.85849,0.92537,0.65558,1.11313,0.60709,0.01864,0.0009308,0.0009308,0.0009308
29,1358.43,1.08799,0.69105,0.01399,0.91703,0.86892,0.92107,0.64986,1.10016,0.59943,0.01799,0.0008912,0.0008912,0.0008912
30,1404.91,1.09577,0.69128,0.01442,0.94364,0.84591,0.92916,0.66048,1.10115,0.6025,0.01838,0.0008516,0.0008516,0.0008516
31,1451.55,1.05813,0.66109,0.01351,0.91465,0.87618,0.93656,0.67681,1.07999,0.54534,0.01791,0.000812,0.000812,0.000812
